"row","title","album","year","release_date","country","release_type","disc_number","track_number","format","length_ms","release_group","release_group_year","artist_credit","release_mbid"
"1","Ballade pour Adeline (piano & orchestre)","Ballade pour Adeline","1977","1977","DE","Album","1","A1","12"" Vinyl","157000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"2","Ballade pour Adeline (piano seul)","Ballade pour Adeline","1977","1977","DE","Album","1","B6","12"" Vinyl","159000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"3","Black Deal","Ballade pour Adeline","1977","1977","DE","Album","1","A5","12"" Vinyl","181000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"4","La milliere","Ballade pour Adeline","1977","1977","DE","Album","1","B2","12"" Vinyl","228000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"5","L'enfant et la mer","Ballade pour Adeline","1977","1977","DE","Album","1","A3","12"" Vinyl","214000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"6","Lyphard Melodie","Ballade pour Adeline","1977","1977","DE","Album","1","B1","12"" Vinyl","280000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"7","Lys River","Ballade pour Adeline","1977","1977","DE","Album","1","A4","12"" Vinyl","215000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"8","Old Fashion","Ballade pour Adeline","1977","1977","DE","Album","1","B5","12"" Vinyl","116000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"9","Romantica Serenade","Ballade pour Adeline","1977","1977","DE","Album","1","B4","12"" Vinyl","204000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"10","Secret of My Life (One)","Ballade pour Adeline","1977","1977","DE","Album","1","A2","12"" Vinyl","178000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"11","Secret of My Life (Two)","Ballade pour Adeline","1977","1977","DE","Album","1","B3","12"" Vinyl","194000","Ballade pour Adeline","1977","Richard Clayderman","9bcb33c0-dacd-40f2-8eab-1d1ea3e44bc1"
"12","Ballade pour Adeline (piano et orchestre)","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","1","Digital Media","157000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"13","Secret of My Life (One)","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","2","Digital Media","178000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"14","L'enfant et la mer","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","3","Digital Media","214000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"15","Lys River","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","4","Digital Media","215000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"16","Black Deal","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","5","Digital Media","181000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"17","Lyphard Melodie","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","6","Digital Media","280000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"18","La milliere","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","7","Digital Media","228000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"19","Secret of My Life (Two)","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","8","Digital Media","194000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"20","Romantica Serenade","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","9","Digital Media","204000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"21","Old Fashion","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","10","Digital Media","116000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"22","Ballade pour Adeline (piano seul)","Ballade pour Adeline","1977","1977-01-01","XW","Album","1","11","Digital Media","159000","Ballade pour Adeline","1977","Richard Clayderman","d0a2d357-2236-4fed-8daf-7ad4b1e35751"
"23","A comme amour (piano et orchestre)","A comme amour","1978","1978","JP","Album","1","A1","12"" Vinyl","194000","A comme amour","1978","Richard Clayderman","60021c79-5ddd-4da7-9c70-97d52032e605"
"24","A comme amour (piano seul)","A comme amour","1978","1978","JP","Album","1","B5","12"" Vinyl","192000","A comme amour","1978","Richard Clayderman","60021c79-5ddd-4da7-9c70-97d52032e605"
