"row","year","series_name","alternate_name","series_type","air_window","network","producer","relationship_to_gap_nhau_cuoi_tuan","notes","source_name","source_url"
"1","2000","Gặp nhau cuối tuần","","main weekly comedy series","April 2000-December 2000","VTV3","VFC","Main program","Original run began in April 2000; old individual episode titles remain incomplete in public sources.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"2","2001","Gặp nhau cuối tuần","","main weekly comedy series","2001","VTV3","VFC","Main program","Part of the original 2000-2006 run.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"3","2002","Gặp nhau cuối tuần","","main weekly comedy series","2002","VTV3","VFC","Main program","Part of the original 2000-2006 run.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"4","2003","Gặp nhau cuối tuần","","main weekly comedy series","2003","VTV3","VFC","Main program","Part of the original 2000-2006 run; spawned/hosted notable related specials in this era.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"5","2004","Gặp nhau cuối tuần","","main weekly comedy series","2004","VTV3","VFC","Main program","Part of the original 2000-2006 run.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"6","2005","Gặp nhau cuối tuần","","main weekly comedy series","2005","VTV3","VFC","Main program","Part of the original 2000-2006 run.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-ky-uc-thap-nien-2000-4842482.html"
"7","2006","Gặp nhau cuối tuần","","main weekly comedy series","January 2006-December 2006","VTV3","VFC","Main program","Original run ended in December 2006 with a farewell program.","VnExpress","https://vnexpress.net/gap-nhau-cuoi-tuan-tro-lai-sau-19-nam-4840190.html"
"8","2003","Gala cười","Gala cười 2003","comedy gala / related format","August 2003","VTV3","VTV3","Related format of Gặp nhau cuối tuần","Described by contemporary press as a new form of Gặp nhau cuối tuần and a quality upgrade for the program.","Tuổi Trẻ Online","https://tuoitre.vn/gala-cuoi-se-hay-hon-gap-nhau-cuoi-tuan-167.htm"
"9","2003","Gala cười","Gala cười 2003","comedy gala / related format","August 2003","VTV3","VTV3","Related format of Gặp nhau cuối tuần","Reported as involving comedy groups from multiple regions and connected to improving Gặp nhau cuối tuần.","Người Lao Động","https://nld.com.vn/van-hoa-van-nghe/gala-cuoi-2003-gop-phan-nang-chat-gap-nhau-cuoi-tuan-55949.htm"
"10","2005","Gala cười sinh viên","Gala cười SV 2005","student comedy gala","July-August 2005","VTV3","Gặp nhau cuối tuần","Audience/student extension","Gặp nhau cuối tuần organized a student comedy playground as a lead-in to Gala cười 2005.","Dân trí","https://dantri.com.vn/giai-tri/mon-khai-vi-la-cua-gala-cuoi-2005-1122448986.htm"
"11","2003","Gặp nhau cuối năm","Táo Quân","year-end / Lunar New Year special","31 January 2003","VTV","VFC","Special episode of Gặp nhau cuối tuần","Started in 2003 as a year-end/New Year special of Gặp nhau cuối tuần; later became the Táo Quân tradition.","Zing News","https://lifestyle.znews.vn/video-gap-nhau-cuoi-nam-2003-post507759.html"
"12","2004","Gặp nhau cuối năm","Táo Quân","year-end / Lunar New Year special","21 January 2004","VTV","VFC","Special episode of Gặp nhau cuối tuần","Pre-2010 Táo Quân-era entry associated with the Gặp nhau cuối năm line.","Wikipedia","https://en.wikipedia.org/wiki/G%E1%BA%B7p_nhau_cu%E1%BB%91i_n%C4%83m"
"13","2005","Gặp nhau cuối năm","Táo Quân","year-end / Lunar New Year special","8 February 2005","VTV","VFC","Special episode of Gặp nhau cuối tuần","Pre-2010 Táo Quân-era entry associated with the Gặp nhau cuối năm line.","Wikipedia","https://en.wikipedia.org/wiki/G%E1%BA%B7p_nhau_cu%E1%BB%91i_n%C4%83m"
"14","2006","Gặp nhau cuối năm","Táo Quân","year-end / Lunar New Year special","28 January 2006","VTV","VFC","Special episode / transition point","Gặp nhau cuối năm began as a special of Gặp nhau cuối tuần and became a separate program after the original weekly series ended.","Wikipedia","https://en.wikipedia.org/wiki/G%E1%BA%B7p_nhau_cu%E1%BB%91i_n%C4%83m"
